address,chain,name,symbol,image,"Oct 10, 24","Oct 11, 24","Oct 12, 24","Oct 13, 24","Oct 14, 24","Oct 15, 24","Oct 16, 24","Oct 17, 24","Oct 18, 24","Oct 19, 24","Oct 20, 24","Oct 21, 24","Oct 22, 24","Oct 23, 24","Oct 24, 24","Oct 25, 24","Oct 26, 24","Oct 27, 24","Oct 28, 24","Oct 29, 24","Oct 30, 24","Oct 31, 24","Nov 01, 24","Nov 02, 24","Nov 03, 24","Nov 04, 24","Nov 05, 24","Nov 06, 24","Nov 07, 24","Nov 08, 24","Nov 09, 24","Nov 10, 24","Nov 11, 24","Nov 12, 24","Nov 13, 24","Nov 14, 24","Nov 15, 24","Nov 16, 24","Nov 17, 24","Nov 18, 24","Nov 19, 24","Nov 20, 24","Nov 21, 24","Nov 22, 24","Nov 23, 24","Nov 24, 24","Nov 25, 24","Nov 26, 24","Nov 27, 24","Nov 28, 24","Nov 29, 24","Nov 30, 24","Dec 01, 24","Dec 02, 24","Dec 03, 24","Dec 04, 24","Dec 05, 24","Dec 06, 24","Dec 07, 24","Dec 08, 24","Dec 09, 24","Dec 10, 24","Dec 11, 24","Dec 12, 24","Dec 13, 24","Dec 14, 24","Dec 15, 24","Dec 16, 24","Dec 17, 24","Dec 18, 24","Dec 19, 24","Dec 20, 24","Dec 21, 24","Dec 22, 24","Dec 23, 24","Dec 24, 24","Dec 25, 24","Dec 26, 24","Dec 27, 24","Dec 28, 24","Dec 29, 24","Dec 30, 24","Dec 31, 24","Jan 01, 25","Jan 02, 25","Jan 03, 25","Jan 04, 25","Jan 05, 25","Jan 06, 25","Jan 07, 25","Jan 08, 25","Jan 09, 25","Jan 10, 25","Jan 11, 25","Jan 12, 25","Jan 13, 25","Jan 14, 25","Jan 15, 25","Jan 16, 25","Jan 17, 25","Jan 18, 25","Jan 19, 25","Jan 20, 25","Jan 21, 25","Jan 22, 25","Jan 23, 25","Jan 24, 25","Jan 25, 25","Jan 26, 25","Jan 27, 25","Jan 28, 25","Jan 29, 25"
HeJUFDxfJSzYFUuHLxkMqCgytU31G6mjP4wKviwqpump,solana,numogram ,GNON,https://token-media.defined.fi/1399811149_HeJUFDxfJSzYFUuHLxkMqCgytU31G6mjP4wKviwqpump_1738124071_large.png,0,0,0,0,0,0,0.9,40.9,136.7,66.3,113.3,83.8,68.5,19.4,27.2,31.0,10.7,6.0,4.5,3.8,5.6,6.4,4.0,4.2,3.9,3.8,4.4,6.4,7.1,10.6,11.3,18.4,34.1,22.6,34.3,28.4,18.9,14.9,15.0,11.5,7.8,11.2,10.7,9.8,10.3,8.1,7.7,7.3,7.5,9.5,9.6,9.8,8.4,8.0,7.4,11.7,18.5,28.2,23.6,17.1,12.4,17.2,15.7,13.5,15.3,23.8,20.5,24.9,23.4,21.8,32.4,37.7,43.2,38.7,39.1,36.8,28.8,25.5,29.6,34.6,40.8,45.0,48.0,39.7,39.9,40.7,41.1,47.6,56.6,42.6,30.9,35.6,31.2,26.6,29.8,29.1,35.5,28.0,22.6,17.9,13.5,15.7,17.7,20.2,15.9,14.3,16.1,11.5,11.8,11.2,11.4,0
FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,solana,Dasha,vvaifu,https://token-media.defined.fi/1399811149_FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8_1738098963_large.png,0,0,0,0,0,0,0,0.1,0.0,0.0,0.1,0.2,0.1,0.4,2.3,1.5,1.0,0.5,0.5,0.4,1.1,1.6,1.4,1.6,2.2,2.4,1.5,1.8,1.8,1.3,2.2,2.5,3.5,2.6,1.8,3.3,29.5,32.2,155.3,99.1,59.5,73.1,47.1,45.8,44.3,57.5,89.0,108.9,87.2,89.3,67.7,75.7,62.2,70.2,49.4,54.2,73.0,62.8,63.5,52.6,48.6,47.4,44.4,57.0,64.2,93.2,65.9,62.3,56.7,45.7,48.3,42.3,44.5,44.7,56.3,54.1,50.2,51.1,76.8,67.4,88.4,124.3,120.9,113.0,94.9,108.8,88.1,98.2,79.1,74.2,60.9,72.9,64.0,60.4,62.3,77.3,76.7,62.5,53.8,46.6,31.5,43.6,41.0,35.1,30.8,25.6,28.8,25.1,23.3,17.1,17.7,0
74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,solana,swarms,swarms,https://token-media.defined.fi/1399811149_74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump_1738160083_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,35.4,29.3,28.8,23.5,26.2,24.1,13.6,18.0,27.3,39.9,71.1,75.2,88.1,173.2,192.6,347.7,301.8,448.8,489.8,316.5,285.4,323.3,246.8,238.9,203.8,236.1,194.1,175.7,176.4,131.5,97.2,154.4,156.3,169.7,140.5,114.8,111.5,98.2,89.1,73.3,71.1,0
HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,solana,Alchemist AI,ALCH,https://token-media.defined.fi/1399811149_HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump_1737926099_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,15.3,25.2,41.3,73.1,64.4,53.4,40.1,68.4,91.5,106.5,104.8,106.1,150.0,130.7,139.3,121.1,99.1,105.1,101.1,94.2,67.4,49.1,50.5,36.1,52.7,52.2,75.1,101.9,79.6,68.5,84.5,65.2,77.2,111.5,168.3,194.5,173.8,171.2,160.8,166.7,201.6,161.7,130.6,134.9,115.8,106.3,109.8,122.8,157.3,138.6,114.9,94.6,70.7,85.5,88.2,94.3,74.8,59.8,57.3,46.0,50.0,40.8,44.5,0
DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,solana,Ava AI,AVA,https://token-media.defined.fi/1399811149_DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump_1737652568_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,10.8,61.1,42.2,66.2,84.7,57.2,47.9,50.7,78.6,63.2,86.2,56.1,74.1,48.0,41.5,42.9,46.7,59.7,39.6,48.4,40.2,51.3,50.8,45.2,43.6,33.1,26.9,24.7,26.8,24.9,18.8,19.3,24.6,27.4,18.4,15.0,14.1,21.2,16.0,19.9,20.6,18.8,27.5,38.8,41.6,37.8,38.1,53.2,63.3,104.8,130.7,140.9,171.0,179.8,180.5,217.2,237.9,236.2,213.3,190.7,216.9,284.7,284.9,262.2,215.5,242.6,174.5,193.5,197.3,197.3,159.7,117.7,128.2,111.2,104.8,76.6,80.8,0
86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump,solana,LIMITUS,LMT,https://token-media.defined.fi/1399811149_86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump_1738109831_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,3.8,25.9,14.2,14.0,30.0,26.9,23.8,21.3,31.4,31.8,33.1,43.7,43.1,64.9,92.9,77.5,79.7,72.4,63.4,74.1,93.3,90.1,83.2,79.3,84.5,88.7,139.4,138.3,114.0,133.4,163.7,177.0,165.6,161.6,158.9,159.5,144.7,168.7,152.5,159.6,154.4,161.3,237.9,213.7,207.8,190.3,119.1,148.4,185.2,157.2,164.7,140.5,149.4,119.7,114.7,95.0,96.1,0
0xb33Ff54b9F7242EF1593d2C9Bcd8f9df46c77935,base,FAI,FAI,https://token-media.defined.fi/8453_0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935_1737620123_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,8.8,46.0,28.8,21.8,16.6,28.3,21.8,29.9,40.1,35.3,29.1,27.5,30.8,43.7,43.8,49.3,57.2,52.1,68.3,96.7,119.2,126.9,171.5,195.5,188.6,228.1,217.3,216.0,188.3,179.7,231.6,235.7,223.8,266.7,370.8,377.1,414.7,545.0,635.8,615.0,558.7,468.5,440.1,588.6,531.5,503.6,436.7,559.9,507.6,472.0,494.0,474.7,440.0,426.9,514.5,455.9,447.2,394.1,378.8,352.2,405.0,380.2,396.1,0
0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,base,aixbt by Virtuals,AIXBT,https://token-media.defined.fi/8453_0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825_1737616542_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,1.5,5.3,8.8,13.6,15.8,28.2,31.0,35.3,39.7,50.0,43.9,48.7,44.8,61.1,89.4,131.2,198.8,206.8,203.7,199.0,225.3,282.8,210.4,211.0,218.1,197.0,181.2,156.8,187.8,220.5,186.1,227.6,247.4,304.8,241.2,226.0,229.7,260.2,341.5,301.9,272.5,331.6,306.9,354.9,353.0,358.6,413.1,496.8,531.7,601.7,569.9,508.7,511.0,513.3,490.9,547.7,472.1,434.7,392.3,508.0,496.6,453.6,433.6,634.2,869.9,809.1,769.2,733.2,662.0,721.8,661.5,746.4,699.5,653.8,651.0,572.2,529.0,429.9,457.8,0
0x1C4CcA7C5DB003824208aDDA61Bd749e55F463a3,base,GAME by Virtuals,GAME,https://token-media.defined.fi/8453_0x1c4cca7c5db003824208adda61bd749e55f463a3_1737609293_large.png,0,0,0,0,0,0.4,0.2,0.2,0.5,0.7,1.2,1.2,2.3,4.0,9.0,10.9,16.0,9.5,8.1,6.1,5.6,9.2,7.1,6.0,5.5,5.6,4.8,5.0,4.3,2.4,2.5,3.6,3.4,2.5,2.6,4.9,4.2,3.7,3.0,2.8,5.7,8.1,5.4,5.9,5.5,6.3,13.9,17.9,42.2,44.1,50.5,40.7,30.5,48.3,49.1,42.9,51.8,56.2,52.7,44.7,47.2,68.2,77.5,85.3,83.5,95.1,112.1,98.9,101.1,93.8,129.8,136.2,157.0,260.1,243.8,257.6,301.4,332.4,297.2,250.6,259.3,345.3,368.7,294.0,276.8,265.9,210.4,227.2,222.3,254.9,208.1,233.9,213.3,178.7,155.7,194.0,250.0,206.9,186.6,167.7,119.8,142.0,139.4,117.4,112.9,104.8,92.0,73.6,72.0,65.2,69.5,0
0x55cD6469F597452B5A7536e2CD98fDE4c1247ee4,base,Luna by Virtuals,LUNA,https://token-media.defined.fi/8453_0x55cd6469f597452b5a7536e2cd98fde4c1247ee4_1738109831_large.png,0,0,0,0,0,6.4,4.1,7.7,13.4,11.1,36.1,33.4,41.2,46.1,162.7,184.3,231.9,152.9,127.3,102.6,110.2,142.1,122.2,106.1,81.4,92.4,80.4,99.1,69.3,58.5,53.4,82.6,84.0,57.2,69.5,103.9,97.6,76.7,59.4,53.3,54.1,47.8,38.9,47.9,42.6,45.1,60.0,78.3,77.6,85.9,112.0,74.0,59.6,71.0,76.0,70.7,75.7,69.7,69.2,58.3,54.6,71.5,86.6,86.8,78.6,83.6,102.4,83.5,76.3,72.2,89.0,88.0,85.1,113.6,128.0,122.4,103.0,102.8,94.5,134.9,120.2,155.5,165.4,136.3,129.0,122.1,105.0,106.3,92.7,87.5,72.1,74.7,64.4,58.9,56.3,73.5,89.0,71.6,69.0,62.4,51.1,51.6,54.9,57.5,51.9,50.3,48.4,39.8,35.7,32.6,34.7,0
0x731814e491571A2e9eE3c5b1F7f3b962eE8f4870,base,VaderAI by Virtuals,VADER,https://token-media.defined.fi/8453_0x731814e491571a2e9ee3c5b1f7f3b962ee8f4870_1738008862_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,3.8,2.8,1.5,7.6,7.9,10.6,8.6,8.2,7.2,5.4,5.1,13.8,19.7,34.9,47.0,37.0,29.5,27.1,53.7,35.5,34.2,29.7,36.2,36.3,28.7,24.1,27.7,23.2,40.6,41.9,43.3,38.1,29.8,28.8,27.3,31.5,32.8,39.6,50.0,64.3,69.7,78.4,82.9,103.1,93.8,101.5,112.2,142.9,118.6,101.4,113.1,95.6,99.3,80.8,90.4,72.2,79.6,69.0,59.9,58.5,81.1,112.4,90.2,89.9,79.6,63.0,70.2,83.7,72.1,62.4,59.7,56.1,60.4,48.7,38.4,37.0,0
0x76C71F1703Fbf19FFdcF3051E1e684Cb9934510f,base,aixCB by Virtuals,AIXCB,https://token-media.defined.fi/8453_0x76c71f1703fbf19ffdcf3051e1e684cb9934510f_1738098963_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.2,5.9,4.8,6.7,6.9,8.1,8.5,8.1,8.2,7.2,9.5,14.5,12.2,16.9,15.4,14.9,26.4,51.3,60.2,61.3,46.6,82.0,104.3,87.4,85.4,77.5,63.4,69.8,71.1,57.1,42.2,50.6,46.1,42.1,34.4,44.6,63.7,50.4,46.5,41.6,31.0,37.2,40.1,38.3,33.8,36.0,31.3,27.5,21.1,19.3,21.0,0
